word,id,len
what,169,4
happens,170,7
in,171,2
the,172,3
"browser,",173,8
the,174,3
backend,175,7
is,176,2
what,177,4
happens,178,7
on,179,2
the,180,3
"server
",181,7
its,182,3
rendering,183,9
on,184,2
the,185,3
client,186,6
"side,",187,5
not,188,3
on,189,2
the,190,3
server,191,6
"side
",192,5
npm,193,3
install,194,7
request,195,7
"--save
git",196,10
workflow,197,8
"
",198,1
if,199,2
you,200,3
want,201,4
something,202,9
to,203,2
be,204,2
"required
logica",205,15
e,206,1
o,207,1
estudo,208,6
de,209,2
argumentos,210,10
"
",211,1
"express
",212,8
crete,213,5
user,214,4
username,215,8
with,216,4
password,217,8
"'passwordname'
",218,15
normally,219,8
in,220,2
js,221,2
it,222,2
gives,223,5
you,224,3
the,225,3
right,226,5
amount,227,6
of,228,2
"memory,",229,7
but,230,3
if,231,2
you,232,3
want,233,4
to,234,2
really,235,6
optimize,236,8
it,237,2
you,238,3
want,239,4
to,240,2
not,241,3
do,242,2
"that
",243,5
create,244,6
"structure,",245,10
dividing,246,8
the,247,3
page,248,4
in,249,2
groups,250,6
of,251,2
increasingly,252,12
soecific,253,8
"content
that",254,12
would,255,5
be,256,2
a,257,1
very,258,4
very,259,4
bad,260,3
user,261,4
"experience,",262,11
it,263,2
would,264,5
be,265,2
unreliable,266,10
because,267,7
the,268,3
information,269,11
might,270,5
have,271,4
changed,272,7
whenever,273,8
the,274,3
button,275,6
might,276,5
have,277,4
pressed,278,7
or,279,2
"not
when",280,8
assigning,281,9
"variables,",282,10
c#,283,2
has,284,3
type,285,4
definitions,286,11
so,287,2
it,288,2
is,289,2
like,290,4
"this:
variables",291,15
always,292,6
need,293,4
to,294,2
be,295,2
specified,296,9
the,297,3
type,298,4
of,299,2
"it
",300,3
fire,301,4
=,302,1
"['aries','leo','sagittarius'];
",303,31
const,304,5
auth,305,4
=,306,1
"firebase.auth();
}",307,18
=,308,1
goes,309,4
to,310,2
the,311,3
end,312,3
of,313,2
the,314,3
code,315,4
"block
else",316,10
"if()
",317,5
"
",318,1
"
",319,1
convert,320,7
a,321,1
number,322,6
to,323,2
an,324,2
"integer
if",325,10
you,326,3
want,327,4
to,328,2
search,329,6
for,330,3
"something
",331,10
being,332,5
able,333,4
to,334,2
quickly,335,7
whip,336,4
prototypes,337,10
an,338,2
change,339,6
them,340,4
on,341,2
the,342,3
fly,343,3
is,344,2
part,345,4
of,346,2
what,347,4
makes,348,5
software,349,8
so,350,2
fun,351,3
to,352,2
build,353,5
"
all_letters",354,12
=,355,1
"""abcdefghijklmnopqrstuvwxyz""
",356,29
"Variables
",357,10
let,358,3
string,359,6
=,360,1
"str.toUpperCase().split("""");
const",361,34
hat,362,3
=,363,1
"""^"";
function",364,13
telephoneCheck,365,14
(str),366,5
"{
names",367,7
=,368,1
['Cuba,369,6
"I',",370,3
'San,371,4
Felipe,372,6
II,373,2
"Okeechobee',",374,12
"'Bahamas',",375,10
'Cuba,376,5
"II',",377,4
"'CubaBrownsville',",378,18
"'Tampico',",379,10
'Labor,380,6
"Day',",381,5
'New,382,4
"England',",383,9
"'Carol',",384,8
"'Janet',",385,8
"'Carla',",386,8
"'Hattie',",387,9
"'Beulah',",388,9
"'Camille',",389,10
"'Edith',",390,8
"'Anita',",391,8
"'David',",392,8
"'Allen',",393,8
"'Gilbert',",394,10
"'Hugo',",395,7
"'Andrew',",396,9
"'Mitch',",397,8
"'Isabel',",398,9
"'Ivan',",399,7
"'Emily',",400,8
"'Katrina',",401,10
"'Rita',",402,7
"'Wilma',",403,8
"'Dean',",404,7
"'Felix',",405,8
"'Matthew',",406,10
"'Irma',",407,7
"'Maria',",408,8
"'Michael']
",409,11
"clamp(number,",410,13
"lower,",411,6
upper),412,6
"{
",413,2
//sees,414,6
if,415,2
the,416,3
input,417,5
is,418,2
a,419,1
"number,",420,7
else,421,4
returns,422,7
"undefined
",423,10
"""monday"",
",424,10
'Last,425,5
"weekend,",426,8
I,427,1
took,428,4
literally,429,9
the,430,3
most,431,4
beautiful,432,9
bike,433,4
ride,434,4
of,435,2
my,436,2
life.,437,5
The,438,3
route,439,5
is,440,2
called,441,6
"""The",442,4
9W,443,2
to,444,2
"Nyack""",445,6
and,446,3
it,447,2
actually,448,8
stretches,449,9
all,450,3
the,451,3
way,452,3
from,453,4
Riverside,454,9
Park,455,4
in,456,2
Manhattan,457,9
to,458,2
South,459,5
"Nyack,",460,6
New,461,3
Jersey.,462,7
It\'s,463,5
really,464,6
an,465,2
adventure,466,9
from,467,4
beginning,468,9
to,469,2
end!,470,4
It,471,2
is,472,2
a,473,1
48,474,2
mile,475,4
loop,476,4
and,477,3
it,478,2
basically,479,9
took,480,4
me,481,2
an,482,2
entire,483,6
day.,484,4
I,485,1
stopped,486,7
at,487,2
Riverbank,488,9
State,489,5
Park,490,4
to,491,2
take,492,4
some,493,4
extremely,494,9
artsy,495,5
photos.,496,7
It,497,2
was,498,3
a,499,1
short,500,5
"stop,",501,5
"though,",502,7
because,503,7
I,504,1
had,505,3
a,506,1
really,507,6
long,508,4
way,509,3
left,510,4
to,511,2
go.,512,3
After,513,5
a,514,1
quick,515,5
photo,516,5
op,517,2
at,518,2
the,519,3
very,520,4
popular,521,7
Little,522,6
Red,523,3
"Lighthouse,",524,11
I,525,1
began,526,5
my,527,2
trek,528,4
across,529,6
the,530,3
George,531,6
Washington,532,10
Bridge,533,6
into,534,4
New,535,3
Jersey.,536,7
The,537,3
GW,538,2
is,539,2
actually,540,8
very,541,4
long,542,4
-,543,1
"4,760",544,5
feet!,545,5
I,546,1
was,547,3
already,548,7
very,549,4
tired,550,5
by,551,2
the,552,3
time,553,4
I,554,1
got,555,3
to,556,2
the,557,3
other,558,5
side.,559,5
An,560,2
hour,561,4
"later,",562,6
I,563,1
reached,564,7
Greenbrook,565,10
Nature,566,6
"Sanctuary,",567,10
an,568,2
extremely,569,9
beautiful,570,9
park,571,4
along,572,5
the,573,3
coast,574,5
of,575,2
the,576,3
Hudson.,577,7
Something,578,9
that,579,4
was,580,3
very,581,4
surprising,582,10
to,583,2
me,584,2
was,585,3
that,586,4
near,587,4
the,588,3
end,589,3
of,590,2
the,591,3
route,592,5
you,593,3
actually,594,8
cross,595,5
back,596,4
into,597,4
New,598,3
York!,599,5
At,600,2
this,601,4
"point,",602,6
you,603,3
are,604,3
very,605,4
close,606,5
to,607,2
the,608,3
"end.';
",609,7
connectors,610,10
are,611,3
made,612,4
with,613,4
very,614,4
expensive,615,9
3rd,616,3
party,617,5
"apps,",618,5
which,619,5
dont,620,4
support,621,7
many,622,4
connections,623,11
(300,624,4
per,625,3
25,626,2
"users)
",627,7
trust,628,5
"
",629,1
what,630,4
do,631,2
you,632,3
think,633,5
it,634,2
"is?
",635,4
session,636,7
cookie,637,6
"
what",638,5
if,639,2
we,640,2
need,641,4
an,642,2
error,643,5
message,644,7
that,645,4
isnt,646,4
covered,647,7
by,648,2
the,649,3
biult-in,650,8
"errors?
to",651,10
give,652,4
more,653,4
confidence,654,10
to,655,2
developers,656,10
and,657,3
to,658,2
make,659,4
sure,660,4
that,661,4
you,662,3
are,663,3
developing,664,10
something,665,9
secure,666,6
and,667,3
"safe
REPL",668,9
=,669,1
"read-eval-print-loop.
what",670,26
is,671,2
"express
DRY",672,11
"
when",673,5
programming,674,11
"interface,",675,10
you,676,3
will,677,4
expect,678,6
certain,679,7
information,680,11
in,681,2
a,682,1
requested,683,9
"url.
authentication",684,19
"
cors",685,5
headers,686,7
"http
if",687,7
you,688,3
need,689,4
to,690,2
check,691,5
something,692,9
with,693,4
a,694,1
lot,695,3
of,696,2
"data,",697,5
like,698,4
every,699,5
review,700,6
of,701,2
a,702,1
"post,",703,5
for,704,3
all,705,3
"posts,",706,6
you,707,3
can,708,3
first,709,5
sort,710,4
it,711,2
and,712,3
check,713,5
it,714,2
"
what",715,5
is,716,2
mock,717,4
testing?,718,8
"
const",719,6
valid1,720,6
=,721,1
"[4,",722,3
"5,",723,2
"3,",724,2
"9,",725,2
"6,",726,2
"7,",727,2
"7,",728,2
"9,",729,2
"0,",730,2
"8,",731,2
"0,",732,2
"1,",733,2
"6,",734,2
"8,",735,2
"0,",736,2
"8];
the",737,7
command,738,7
"line
behavioral",739,15
"interviews
mvc",740,14
:,741,1
"model,",742,6
view,743,4
",",744,1
controller,745,10
"
prod",746,5
tips,747,4
"
recursion",748,10
is,749,2
a,750,1
strategy,751,8
for,752,3
solving,753,7
problems,754,8
by,755,2
defining,756,8
the,757,3
problem,758,7
in,759,2
terms,760,5
of,761,2
itself,762,6
"
graph",763,6
traversals,764,10
"
binary",765,7
search,766,6
"
make",767,5
a,768,1
way,769,3
to,770,2
automatically,771,13
create,772,6
instances,773,9
"
int",774,4
main(void),775,10
"{
screensizes",776,13
"https://content.codecademy.com/courses/freelance-1/unit-5/screen-sizes.png
introdução",777,85
a,778,1
"tecnologias
creating",779,20
a,780,1
postgresql,781,10
"database
queries",782,16
is,783,2
to,784,2
retrieve,785,8
information,786,11
stored,787,6
in,788,2
a,789,1
"database.
to",790,12
get,791,3
the,792,3
number,793,6
of,794,2
entries,795,7
you,796,3
use,797,3
the,798,3
count,799,5
operator,800,8
"
instead",801,8
of,802,2
using,803,5
multiple,804,8
tables,805,6
to,806,2
do,807,2
anything,808,8
you,809,3
can,810,3
work,811,4
with,812,4
multiple,813,8
tables,814,6
at,815,2
the,816,3
same,817,4
"time
to",818,7
select,819,6
a,820,1
result,821,6
from,822,4
a,823,1
table,824,5
in,825,2
"sql
phaser",826,10
is,827,2
an,828,2
oop,829,3
programming,830,11
framework,831,9
"
whiteboarding",832,14
"
folder",833,7
"strucure
",834,9
Front,835,5
End,836,3
Developtment,837,12
"Libraries
they",838,14
are,839,3
the,840,3
perfect,841,7
data,842,4
structure,843,9
for,844,3
modeling,845,8
networks,846,8
"
they",847,5
are,848,3
another,849,7
variation,850,9
of,851,2
the,852,3
tree,853,4
data,854,4
structure,855,9
and,856,3
are,857,3
adept,858,5
at,859,2
keeping,860,7
track,861,5
of,862,2
the,863,3
maximum,864,7
or,865,2
minimum,866,7
value,867,5
held,868,4
within,869,6
"
the",870,4
list,871,4
is,872,2
comprised,873,9
of,874,2
a,875,1
series,876,6
of,877,2
nodes,878,5
as,879,2
shown,880,5
in,881,2
the,882,3
diagram.,883,8
the,884,3
head,885,4
node,886,4
is,887,2
the,888,3
node,889,4
at,890,2
the,891,3
beginning,892,9
of,893,2
the,894,3
"list
they",895,9
are,896,3
an,897,2
essential,898,9
data,899,4
structure,900,9
for,901,3
storing,902,7
hierarchical,903,12
data,904,4
with,905,4
a,906,1
directed,907,8
"flow
a",908,6
queue,909,5
is,910,2
a,911,1
linear,912,6
collection,913,10
of,914,2
nodes,915,5
that,916,4
exclusively,917,11
adds,918,4
nodes,919,5
to,920,2
the,921,3
tail,922,4
and,923,3
removes,924,7
nodes,925,5
from,926,4
the,927,3
"head
sets",928,9
are,929,3
an,930,2
o1,931,2
way,932,3
for,933,3
you,934,3
to,935,2
get/see,936,7
if,937,2
an,938,2
item,939,4
is,940,2
in,941,2
an,942,2
"array/object,",943,13
the,944,3
data,945,4
looks,946,5
like,947,4
this,948,4
"
stack",949,6
is,950,2
a,951,1
linear,952,6
collection,953,10
of,954,2
nodes,955,5
that,956,4
adds,957,4
data,958,4
to,959,2
the,960,3
head,961,4
or,962,2
"top,",963,4
however,964,7
unlike,965,6
a,966,1
queue,967,5
a,968,1
stack,969,5
removes,970,7
data,971,4
from,972,4
the,973,3
head,974,4
of,975,2
the,976,3
stack,977,5
"
if",978,3
you,979,3
want,980,4
to,981,2
hide,982,4
"something
jquery",983,16
events,984,6
like,985,4
.click,986,6
.focus,987,6
.blur,988,5
are,989,3
shorthands,990,10
for,991,3
the,992,3
.on('prop'),993,11
"method
async",994,12
in,995,2
jquery,996,6
"
warm",997,5
colors,998,6
"
to",999,3
create,1000,6
a,1001,1
formik,1002,6
form,1003,4
"
<?php
what",1004,11
is,1005,2
ui,1006,2
"design?
const",1007,13
express,1008,7
=,1009,1
"require(""express"");
why",1010,23
data,1011,4
structures,1012,10
"
var",1013,4
sum,1014,3
=,1015,1
variable,1016,8
that,1017,4
adds,1018,4
"(+)
modules",1019,11
"----------------------------------------------------------------------------------------------------------------------------------
The",1020,134
canvas,1021,6
and,1022,3
Setup,1023,5
"Functions
to",1024,12
comment,1025,7
use,1026,3
the,1027,3
"#
loading",1028,9
a,1029,1
"dataframe
to",1030,12
run,1031,3
code,1032,4
in,1033,2
the,1034,3
terminal,1035,8
"
tuples",1036,7
"
open",1037,5
tag,1038,3
=,1039,1
"<h1>
declaring",1040,14
"types
to",1041,8
render,1042,6
php,1043,3
in,1044,2
the,1045,3
browser,1046,7
"
/*",1047,3
doing,1048,5
css,1049,3
resume,1050,6
bc,1051,2
freecodecamp,1052,12
doesnt,1053,6
do,1054,2
"exercises,",1055,10
just,1056,4
makes,1057,5
you,1058,3
write,1059,5
what,1060,4
they,1061,4
say,1062,3
"lulw
setting",1063,12
up,1064,2
apollo,1065,6
server,1066,6
"
pandas",1067,7
-,1068,1
"
first",1069,6
create,1070,6
a,1071,1
type,1072,4
defs,1073,4
"
to",1074,3
add,1075,3
a,1076,1
description,1077,11
of,1078,2
the,1079,3
function,1080,8
"
deploying",1081,10
app,1082,3
to,1083,2
"heroku
escape",1084,13
sequences,1085,9
in,1086,2
"strings
//",1087,10
Write,1088,5
your,1089,4
function,1090,8
"here:
set",1091,9
theory,1092,6
"
class",1093,6
ShiftCipher,1094,11
"{
function",1095,10
palindrome,1096,10
"(str){
hashing",1097,14
vs,1098,2
encryption,1099,10
vs,1100,2
encoding,1101,8
vs,1102,2
"obfuscation
sql",1103,15
injection,1104,9
is,1105,2
a,1106,1
code,1107,4
injection,1108,9
technique,1109,9
used,1110,4
to,1111,2
attack,1112,6
data-driven,1113,11
"applications,",1114,13
in,1115,2
which,1116,5
malicious,1117,9
sql,1118,3
statements,1119,10
are,1120,3
inserted,1121,8
into,1122,4
an,1123,2
entry,1124,5
field,1125,5
for,1126,3
execution,1127,9
"
",1128,1
what,1129,4
is,1130,2
"it
Sanitizing",1131,13
data,1132,4
"
installing",1133,11
"
what",1134,5
is,1135,2
"it
server",1136,9
tests,1137,5
are,1138,3
used,1139,4
to,1140,2
test,1141,4
the,1142,3
server,1143,6
response,1144,8
only,1145,4
and,1146,3
not,1147,3
any,1148,3
front-end,1149,9
rencering,1150,9
of,1151,2
code,1152,4
or,1153,2
user,1154,4
"interactions.
headless",1155,22
testing,1156,7
is,1157,2
a,1158,1
way,1159,3
of,1160,2
running,1161,7
browser,1162,7
ui,1163,2
tests,1164,5
without,1165,7
the,1166,3
"""head""",1167,6
wich,1168,4
is,1169,2
no,1170,2
browser,1171,7
ui,1172,2
or,1173,2
"gui
",1174,4
before,1175,6
a,1176,1
project,1177,7
has,1178,3
any,1179,3
users,1180,5
it,1181,2
can,1182,3
be,1183,2
hard,1184,4
to,1185,2
see,1186,3
how,1187,3
the,1188,3
application,1189,11
will,1190,4
function,1191,8
with,1192,4
real,1193,4
"data,",1194,5
thats,1195,5
where,1196,5
knex,1197,4
and,1198,3
faker,1199,5
comes,1200,5
"in
",1201,3
its,1202,3
what,1203,4
happens,1204,7
on,1205,2
the,1206,3
users,1207,5
browser,1208,7
and,1209,3
not,1210,3
on,1211,2
the,1212,3
"server
",1213,7
<input,1214,6
"type=""text""",1215,11
"required>
",1216,10
lets,1217,4
say,1218,3
that,1219,4
we,1220,2
want,1221,4
to,1222,2
issue,1223,5
a,1224,1
get,1225,3
request,1226,7
and,1227,3
determine,1228,9
the,1229,3
ip,1230,2
address,1231,7
of,1232,2
the,1233,3
"request,",1234,8
in,1235,2
this,1236,4
case,1237,4
our,1238,3
local,1239,5
"machine
",1240,8
working,1241,7
directory,1242,9
:,1243,1
where,1244,5
youll,1245,5
be,1246,2
doing,1247,5
all,1248,3
the,1249,3
"work,",1250,5
"creating,",1251,9
editing,1252,7
deleting,1253,8
and,1254,3
organizing,1255,10
"files
c
",1256,8
quicly,1257,6
create,1258,6
a,1259,1
server,1260,6
in,1261,2
"nodejs
altering",1262,15
the,1263,3
"password
what",1264,13
is,1265,2
data,1266,4
"
",1267,1
typed,1268,5
arrays,1269,6
are,1270,3
the,1271,3
solution,1272,8
to,1273,2
"that,",1274,5
"
",1275,1
create,1276,6
visual,1277,6
"contrast,",1278,9
with,1279,4
lower-numbered,1280,14
headers,1281,7
like,1282,4
h1,1283,2
displaying,1284,10
in,1285,2
a,1286,1
larger,1287,6
and,1288,3
more,1289,4
striking,1290,8
format,1291,6
"
",1292,1
estudo,1293,6
do,1294,2
raciocinio,1295,10
dedutivo,1296,8
"
",1297,1
"float
",1298,6
earth,1299,5
=,1300,1
"['taurus','virgo','capricorn'];
Num",1301,35
X,1302,1
Action,1303,6
=,1304,1
performs,1305,8
the,1306,3
same,1307,4
action,1308,6
the,1309,3
num,1310,3
of,1311,2
"times
this",1312,10
is,1313,2
how,1314,3
an,1315,2
application,1316,11
using,1317,5
an,1318,2
http,1319,4
connection,1320,10
might,1321,5
work,1322,4
and,1323,3
demonstrates,1324,12
the,1325,3
problem,1326,7
that,1327,4
websockets,1328,10
are,1329,3
here,1330,4
to,1331,2
solve,1332,5
"
else()
namespace",1333,17
"clas
",1334,5
string,1335,6
name,1336,4
=,1337,1
"""Rodrigo"";
",1338,11
"loops
.length();
for",1339,20
it,1340,2
to,1341,2
have,1342,4
"gravity,",1343,8
you,1344,3
use,1345,3
rigid,1346,5
bodies,1347,6
&,1348,1
collision,1349,9
"boxes
",1350,6
let,1351,3
petString,1352,9
=,1353,1
"""James",1354,6
has,1355,3
a,1356,1
pet,1357,3
"cat."";
const",1358,12
valid2,1359,6
=,1360,1
"[5,",1361,3
"5,",1362,2
"3,",1363,2
"5,",1364,2
"7,",1365,2
"6,",1366,2
"6,",1367,2
"7,",1368,2
"6,",1369,2
"8,",1370,2
"7,",1371,2
"5,",1372,2
"1,",1373,2
"4,",1374,2
"3,",1375,2
"9];
",1376,4
let,1377,3
newArr,1378,6
=,1379,1
"[];
const",1380,9
hole,1381,4
=,1382,1
"""O"";
//",1383,7
to,1384,2
see,1385,3
if,1386,2
the,1387,3
number,1388,6
is,1389,2
long,1390,4
enough,1391,6
to,1392,2
be,1393,2
a,1394,1
correct,1395,7
phone,1396,5
"number
",1397,7
"arrays
",1398,7
var,1399,3
lowerClampedValue,1400,17
=,1401,1
"Math.max(number,",1402,16
"lower);
",1403,8
if,1404,2
(typeof,1405,7
num,1406,3
==,1407,2
"""number"")",1408,9
"{
const",1409,7
getUserInput,1410,12
=,1411,1
(userInput),1412,11
=>,1413,2
"{
",1414,2
have,1415,4
to,1416,2
build,1417,5
technologies,1418,12
from,1419,4
the,1420,3
ground,1421,6
up,1422,2
using,1423,5
vanilla,1424,7
javascript,1425,10
and,1426,3
without,1427,7
documentation,1428,13
(very,1429,5
annoying,1430,8
to,1431,2
do),1432,3
that,1433,4
in,1434,2
the,1435,3
end,1436,3
wont,1437,4
be,1438,2
as,1439,2
good,1440,4
or,1441,2
have,1442,4
more,1443,4
customizability,1444,15
as,1445,2
in,1446,2
the,1447,3
"templates
",1448,10
"""tuesday"",
",1449,11
basic,1450,5
"language
",1451,9
exists,1452,6
only,1453,4
in,1454,2
temp,1455,4
memory,1456,6
while,1457,5
the,1458,3
user,1459,4
navigates,1460,9
a,1461,1
website.,1462,8
they,1463,4
are,1464,3
identified,1465,10
by,1466,2
the,1467,3
browser,1468,7
by,1469,2
the,1470,3
absence,1471,7
of,1472,2
an,1473,2
expiration,1474,10
date,1475,4
assigned,1476,8
to,1477,2
them,1478,4
"
installing
",1479,12
do,1480,2
not,1481,3
"
",1482,1
console.log(Error('your,1483,23
password,1484,8
is,1485,2
too,1486,3
"weak));
",1487,8
creating,1488,8
a,1489,1
fake,1490,4
version,1491,7
of,1492,2
an,1493,2
external,1494,8
or,1495,2
internal,1496,8
service,1497,7
that,1498,4
can,1499,3
stand,1500,5
in,1501,2
for,1502,3
the,1503,3
real,1504,4
"one,",1505,4
helping,1506,7
your,1507,4
tests,1508,5
run,1509,3
more,1510,4
quickly,1511,7
and,1512,3
more,1513,4
"reliably
",1514,9
most,1515,4
popular,1516,7
node,1517,4
web,1518,3
framework,1519,9
and,1520,3
is,1521,2
the,1522,3
underlying,1523,10
library,1524,7
"
manual",1525,7
"testing
",1526,8
read,1527,4
"state
",1528,6
verification,1529,12
of,1530,2
who,1531,3
you,1532,3
are.,1533,4
authentication,1534,14
relies,1535,6
on,1536,2
one,1537,3
or,1538,2
more,1539,4
factors,1540,7
to,1541,2
verify,1542,6
identity,1543,8
"
",1544,1
an,1545,2
"example
generating",1546,18
a,1547,1
token,1548,5
and,1549,3
import,1550,6
it,1551,2
on,1552,2
your,1553,4
"files
",1554,6
"Access-Control-Allow-Origin
this",1555,32
example,1556,7
is,1557,2
for,1558,3
"distance,",1559,9
next,1560,4
is,1561,2
what,1562,4
i,1563,1
used,1564,4
to,1565,2
check,1566,5
the,1567,3
"posts
",1568,6
steps,1569,5
are,1570,3
"
",1571,1
"ls
",1572,3
depth-first,1573,11
"search
to",1574,9
sum,1575,3
the,1576,3
elements,1577,8
of,1578,2
a,1579,1
"list,",1580,5
we,1581,2
would,1582,5
take,1583,4
the,1584,3
first,1585,5
element,1586,7
and,1587,3
add,1588,3
it,1589,2
to,1590,2
the,1591,3
sum,1592,3
of,1593,2
the,1594,3
remaining,1595,9
elements,1596,8
"
",1597,1
when,1598,4
given,1599,5
a,1600,1
sorted,1601,6
array,1602,5
of,1603,2
"data,",1604,5
binary,1605,6
search,1606,6
is,1607,2
a,1608,1
way,1609,3
of,1610,2
searching,1611,9
through,1612,7
that,1613,4
data,1614,4
to,1615,2
find,1616,4
an,1617,2
element,1618,7
in,1619,2
O(log,1620,5
n),1621,2
time,1622,4
using,1623,5
a,1624,1
divide,1625,6
and,1626,3
conquer,1627,7
"
everything",1628,11
that,1629,4
you,1630,3
can,1631,3
"add,",1632,4
you,1633,3
should,1634,6
also,1635,4
have,1636,4
a,1637,1
possibility,1638,11
to,1639,2
"delete,",1640,7
update,1641,6
and,1642,3
get,1643,3
on,1644,2
different,1645,9
"methods
",1646,8
Dont,1647,4
"
html",1648,5
status,1649,6
codes,1650,5
"
const",1651,6
cors,1652,4
=,1653,1
"require(""cors"");
",1654,17
select,1655,6
count(*),1656,8
from,1657,4
"table_name;
",1658,12
what,1659,4
not,1660,3
to,1661,2
do,1662,2
"
",1663,1
installing,1664,10
"postgresql
",1665,11
SELECT,1666,6
{property},1667,10
FROM,1668,4
"{tableName};
",1669,13
Using,1670,5
"Bootstrap
",1671,10
create,1672,6
a,1673,1
game,1674,4
"
composed",1675,9
of,1676,2
nodes,1677,5
or,1678,2
vertices,1679,8
which,1680,5
hold,1681,4
data,1682,4
and,1683,3
"edges,",1684,6
which,1685,5
are,1686,3
a,1687,1
connection,1688,10
between,1689,7
two,1690,3
vertices,1691,8
"
hello();
",1692,10
assets,1693,6
"
similar",1694,8
to,1695,2
linked,1696,6
lists,1697,5
and,1698,3
"graphs,",1699,7
trees,1700,5
are,1701,3
composed,1702,8
of,1703,2
nodes,1704,5
which,1705,5
hold,1706,4
"data
we",1707,7
can,1708,3
picture,1709,7
min-heaps,1710,9
as,1711,2
binary,1712,6
"trees,",1713,6
where,1714,5
each,1715,4
node,1716,4
has,1717,3
at,1718,2
most,1719,4
two,1720,3
children.,1721,9
as,1722,2
we,1723,2
add,1724,3
elements,1725,8
to,1726,2
the,1727,3
heap,1728,4
theyre,1729,6
added,1730,5
from,1731,4
left,1732,4
to,1733,2
right,1734,5
until,1735,5
weve,1736,4
filled,1737,6
the,1738,3
entire,1739,6
level,1740,5
"
the",1741,4
list,1742,4
is,1743,2
terminated,1744,10
when,1745,4
a,1746,1
nodes,1747,5
link,1748,4
is,1749,2
null,1750,4
(called,1751,7
the,1752,3
tail,1753,4
"node)
they",1754,10
can,1755,3
be,1756,2
implemented,1757,11
using,1758,5
different,1759,9
underlying,1760,10
data,1761,4
"structures,",1762,11
but,1763,3
one,1764,3
of,1765,2
the,1766,3
more,1767,4
common,1768,6
methods,1769,7
is,1770,2
to,1771,2
use,1772,3
a,1773,1
singly,1774,6
linked,1775,6
"list
",1776,5
{1:,1777,3
"true,",1778,5
2:,1779,2
"true,",1780,5
3:,1781,2
"true,4",1782,6
:,1783,1
"true}
",1784,6
push,1785,4
-,1786,1
adds,1787,4
data,1788,4
to,1789,2
the,1790,3
top,1791,3
of,1792,2
the,1793,3
stack,1794,5
"
",1795,1
they,1796,4
are,1797,3
the,1798,3
way,1799,3
we,1800,2
are,1801,3
able,1802,4
to,1803,2
store,1804,5
and,1805,3
retrieve,1806,8
data.,1807,5
you,1808,3
may,1809,3
already,1810,7
be,1811,2
familiar,1812,8
with,1813,4
lists,1814,5
or,1815,2
"arrays
the",1816,10
.on,1817,3
can,1818,3
only,1819,4
create,1820,6
event,1821,5
listeners,1822,9
on,1823,2
elements,1824,8
that,1825,4
exists,1826,6
at,1827,2
the,1828,3
time,1829,4
you,1830,3
set,1831,3
up,1832,2
the,1833,3
listeners,1834,9
"
",1835,1
warm,1836,4
colors,1837,6
range,1838,5
between,1839,7
